"UAL","study","region","core","depth_mbsf","temp_C","temp_cat","taxon","n_used","n_rejected","age_ka","DL_Asp","SD_Asp","DL_Glu","SD_Glu"
"7468","Kaufman et al., 2013","Arctic Ocean","LOMROG07-08PC",0,"-0.5","Very cold","Neogloboquadrina",5,0,6.9,0.085,0.011,0.034,0.004
"7469","Kaufman et al., 2013","Arctic Ocean","LOMROG07-08PC",0.03,"-0.5","Very cold","Neogloboquadrina",4,2,12,0.123,0.006,0.045,0.006
"7470","Kaufman et al., 2013","Arctic Ocean","LOMROG07-08PC",0.05,"-0.5","Very cold","Neogloboquadrina",6,0,17.4,0.169,0.013,0.063,0.007
"7471","Kaufman et al., 2013","Arctic Ocean","LOMROG07-08PC",0.08,"-0.5","Very cold","Neogloboquadrina",6,0,36.8,0.188,0.005,0.073,0.004
"7307","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.01,"-0.7","Very cold","Neogloboquadrina",4,0,2,0.06,0.002,0.018,0.001
"7308","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.08,"-0.7","Very cold","Neogloboquadrina",5,0,7.4,0.1,0.008,0.031,0.003
"7441","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.11,"-0.7","Very cold","Neogloboquadrina",5,1,9.1,0.122,0.005,0.035,0.002
"7309","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.16,"-0.7","Very cold","Neogloboquadrina",5,1,10.9,0.111,0.005,0.031,0.002
"7440","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.18,"-0.7","Very cold","Neogloboquadrina",4,1,11.6,0.133,0.007,0.038,0.003
"7310","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.22,"-0.7","Very cold","Neogloboquadrina",4,1,12.4,0.122,0.006,0.037,0.002
"7311","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.26,"-0.7","Very cold","Neogloboquadrina",5,0,12.9,0.122,0.002,0.036,0.002
