"UAL","study","region","core","depth_mbsf","temp_C","temp_cat","taxon","n_used","n_rejected","age_ka","DL_Asp","SD_Asp","DL_Glu","SD_Glu"
"7312","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.28,"-0.7","Very cold","Neogloboquadrina",5,0,13,0.115,0.015,0.035,0.005
"7313","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.3,"-0.7","Very cold","Neogloboquadrina",4,1,27.4,0.168,0.019,0.052,0.01
"7314","Kaufman et al., 2013","Arctic Ocean","HLY0503-18TC",0.32,"-0.7","Very cold","Neogloboquadrina",3,1,30.9,0.185,0.012,0.06,0.002
"6510","Kaufman et al. 2008","Arctic Ocean","HLY0503-11MC-2",0.06,"-0.7","Very cold","Neogloboquadrina",5,0,30.95,0.225,0.039,0.106,0.025
"6134","Kaufman et al., 2008","Arctic Ocean","HLY0503-8JPC",0.01,"-0.5","Very cold","Neogloboquadrina",4,1,3.98,0.08,0.005,0.035,0.001
"6141","Kaufman et al., 2008","Arctic Ocean","HLY0503-8JPC",0.08,"-0.5","Very cold","Neogloboquadrina",4,0,10.15,0.096,0.008,0.034,0.005
"6140","Kaufman et al., 2008","Arctic Ocean","HLY0503-8JPC",0.15,"-0.5","Very cold","Neogloboquadrina",2,1,9.61,0.108,0.002,0.046,0.005
"6135","Kaufman et al., 2008","Arctic Ocean","HLY0503-8JPC",0.25,"-0.5","Very cold","Neogloboquadrina",3,1,10.86,0.11,0.003,0.039,0.001
"5921","Kaufman et al. 2008","Arctic Ocean","88AR-P5  ",0,"-0.25","Very cold","Neogloboquadrina",5,0,5.53,0.098,0.01,0.05,0.012
"15546","West et al., 2019","Arctic Ocean","PS92/39-2",1.5,"-0.76","Very cold","Neogloboquadrina",4,3,30.8,0.234,0.018,0.082,0.01
"15547","West et al., 2019","Arctic Ocean","PS92/39-2",3,"-0.76","Very cold","Neogloboquadrina",8,0,64.2,0.258,0.025,0.103,0.021
"15548","West et al., 2019","Arctic Ocean","PS92/39-2",3.8,"-0.76","Very cold","Neogloboquadrina",8,2,80.4,0.233,0.016,0.095,0.015
"15549","West et al., 2019","Arctic Ocean","PS92/39-2",5.81,"-0.76","Very cold","Neogloboquadrina",4,5,126.3,0.272,0.063,0.11,0.035
"15550","West et al., 2019","Arctic Ocean","PS92/39-2",6.51,"-0.76","Very cold","Neogloboquadrina",8,1,139.2,0.313,0.014,0.153,0.015
"15551","West et al., 2019","Arctic Ocean","PS92/39-2",7.21,"-0.76","Very cold","Neogloboquadrina",4,6,150.8,0.298,0.016,0.118,0.016
"15552","West et al., 2019","Arctic Ocean","PS92/39-2",8.31,"-0.76","Very cold","Neogloboquadrina",5,5,168.5,0.283,0.021,0.111,0.015
"15553","West et al., 2019","Arctic Ocean","PS92/39-2",8.41,"-0.76","Very cold","Neogloboquadrina",6,4,170.1,0.329,0.017,0.169,0.013
"16814","West et al., 2019","Arctic Ocean","PS92/45-2",1.2,"-0.25","Very cold","Neogloboquadrina",6,3,29.8,0.19,0.012,0.085,0.009
"16815","West et al., 2019","Arctic Ocean","PS92/45-2",1.59,"-0.25","Very cold","Neogloboquadrina",11,0,39.5,0.195,0.008,0.084,0.007
"16817","West et al., 2019","Arctic Ocean","PS92/45-2",3.12,"-0.25","Very cold","Neogloboquadrina",4,4,90.1,0.269,0.019,0.124,0.027
"16818","West et al., 2019","Arctic Ocean","PS92/45-2",4.13,"-0.25","Very cold","Neogloboquadrina",4,3,147.8,0.345,0.014,0.176,0.017
"17531","West et al., 2019","Arctic Ocean","PS92/45-2",4.45,"-0.25","Very cold","Neogloboquadrina",11,0,171.8,0.351,0.027,0.186,0.029
"16819","West et al., 2019","Arctic Ocean","PS92/45-2",4.73,"-0.25","Very cold","Neogloboquadrina",4,2,194.9,0.362,0.023,0.189,0.016
"16822","West et al., 2019","Arctic Ocean","PS92/54-1",1.79,"-0.43","Very cold","Neogloboquadrina",6,1,40.1,0.166,0.011,0.07,0.009
"16826","West et al., 2019","Arctic Ocean","PS92/54-1",4.66,"-0.43","Very cold","Neogloboquadrina",8,7,132.3,0.395,0.01,0.224,0.01
"16827","West et al., 2019","Arctic Ocean","PS92/54-1",4.94,"-0.43","Very cold","Neogloboquadrina",5,1,135.8,0.358,0.035,0.175,0.04
"16828","West et al., 2019","Arctic Ocean","PS92/54-1",5.1,"-0.43","Very cold","Neogloboquadrina",3,1,137.8,0.345,0.018,0.186,0.02
"21676, 21702","Smith 2022","Nordic Seas","MD99-2304",22.405,"-0.8","Very cold","Neogloboquadrina",10,4,120,0.295,0.034,0.108,0.023
"21677, 21703","Smith 2022","Nordic Seas","MD99-2304",22.525,"-0.8","Very cold","Neogloboquadrina",11,5,123,0.321,0.011,0.128,0.011
"22732","West et al. 2023; Smith 2022","Nordic Seas","PS17 / 1906-2",0.15,"-1","Very cold","Neogloboquadrina",12,3,10,0.13,0.005,0.065,0.002
"22733","West et al. 2023; Smith 2022","Nordic Seas","PS17 / 1906-2",1.81,"-1","Very cold","Neogloboquadrina",17,0,85,0.263,0.008,0.111,0.008
"22734","West et al. 2023; Smith 2022","Nordic Seas","PS17 / 1906-2",2.01,"-1","Very cold","Neogloboquadrina",12,0,111,0.306,0.006,0.138,0.005
"22735","West et al. 2023; Smith 2022","Nordic Seas","PS17 / 1906-2",2.11,"-1","Very cold","Neogloboquadrina",12,4,117,0.312,0.01,0.141,0.009
"22736","West et al. 2023; Smith 2022","Nordic Seas","PS17 / 1906-2",2.21,"-1","Very cold","Neogloboquadrina",12,3,122,0.331,0.032,0.156,0.028
"22737","West et al. 2023; Smith 2022","Nordic Seas","PS17 / 1906-2",3.29,"-1","Very cold","Neogloboquadrina",8,1,207,0.338,0.017,0.168,0.011
"22738","West et al. 2023; Smith 2022","Nordic Seas","PS17 / 1906-2",3.61,"-1","Very cold","Neogloboquadrina",12,2,225,0.355,0.01,0.178,0.01
"22739","West et al. 2023; Smith 2022","Nordic Seas","PS17 / 1906-2",5.51,"-1","Very cold","Neogloboquadrina",5,1,398,0.439,0.03,0.227,0.036
"22745","West et al. 2023","Nordic Seas","ODP151/ 907A",1.05,"-0.8","Very cold","Neogloboquadrina",15,2,42,0.2,0.008,0.082,0.007
"22746","West et al. 2023","Nordic Seas","ODP151/ 907A",1.87,"-0.8","Very cold","Neogloboquadrina",13,2,107,0.281,0.005,0.114,0.003
"22747","West et al. 2023","Nordic Seas","ODP151/ 907A",2.35,"-0.8","Very cold","Neogloboquadrina",18,2,131,0.323,0.012,0.145,0.009
"22748","West et al. 2023","Nordic Seas","ODP151/ 907A",3.06,"-0.8","Very cold","Neogloboquadrina",15,0,168,0.355,0.011,0.171,0.009
"22749","West et al. 2023","Nordic Seas","ODP151/ 907A",5.06,"-0.8","Very cold","Neogloboquadrina",17,2,309,0.395,0.016,0.192,0.014
"22750","West et al. 2023","Nordic Seas","ODP151/ 907A",6.81,"-0.8","Very cold","Neogloboquadrina",12,1,398,0.388,0.013,0.183,0.016
"22751","West et al. 2023","Nordic Seas","ODP151/ 907A",15.21,"-0.8","Very cold","Neogloboquadrina",10,3,781,0.482,0.036,0.25,0.046
"21671, 21689","Smith 2022","Nordic Seas","MD95-2010",2.61,"-0.5","Very cold","Neogloboquadrina",6,9,19,0.15,0.016,0.048,0.009
"21672, 21690","Smith 2022","Nordic Seas","MD95-2010",4.405,"-0.5","Very cold","Neogloboquadrina",6,8,23,0.16,0.017,0.056,0.01
"21673, 21691","Smith 2022","Nordic Seas","MD95-2010",5.51,"-0.5","Very cold","Neogloboquadrina",10,7,26,0.184,0.011,0.068,0.014
"21674, 21692","Smith 2022","Nordic Seas","MD95-2010",12.495,"-0.5","Very cold","Neogloboquadrina",9,7,120,0.307,0.023,0.119,0.014
"21668, 21694","Smith 2022","Nordic Seas","MD95-2011",2.75,"-0.25","Very cold","Neogloboquadrina",8,5,4,0.079,0.015,0.026,0.005
"21669, 21695","Smith 2022","Nordic Seas","MD95-2011",3.965,"-0.25","Very cold","Neogloboquadrina",5,7,6,0.073,0.016,0.02,0.002
"21670, 21701","Smith 2022","Nordic Seas","MD95-2011",5.595,"-0.25","Very cold","Neogloboquadrina",7,6,9,0.096,0.015,0.035,0.009
"0627uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",1.1,"-0.8","Very cold","Neogloboquadrina",2,0,13.2,0.178,0.007,0.078,0.003
"0585uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",1.2,"-0.8","Very cold","Neogloboquadrina",2,0,13.5,0.163,0.004,0.063,0.003
"0984uH*","Wheeler et al. 2021","Nordic Seas","MD99-2289",1.31,"-0.8","Very cold","Neogloboquadrina",2,0,13.8,0.185,0.002,0.069,0.001
"0629uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",1.4,"-0.8","Very cold","Neogloboquadrina",2,0,14.2,0.175,0.001,0.075,0.001
"0586uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",1.7,"-0.8","Very cold","Neogloboquadrina",2,0,16.2,0.174,0.002,0.065,0
"0630uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",1.8,"-0.8","Very cold","Neogloboquadrina",2,0,16.7,0.175,0.003,0.077,0.001
"0631uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",1.9,"-0.8","Very cold","Neogloboquadrina",2,0,17.1,0.172,0.003,0.071,0
"0587uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",2,"-0.8","Very cold","Neogloboquadrina",2,0,17.3,0.184,0,0.063,0.001
"0632uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",2.1,"-0.8","Very cold","Neogloboquadrina",2,0,17.4,0.175,0.001,0.08,0.002
"0633uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",2.2,"-0.8","Very cold","Neogloboquadrina",2,0,17.6,0.19,0.005,0.072,0.001
"0588uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",2.3,"-0.8","Very cold","Neogloboquadrina",2,0,17.7,0.186,0.001,0.069,0.002
"0634uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",2.4,"-0.8","Very cold","Neogloboquadrina",2,0,17.9,0.177,0.001,0.072,0
"0562uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",2.6,"-0.8","Very cold","Neogloboquadrina",3,0,18.2,0.18,0.005,0.063,0.009
"0635uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",2.71,"-0.8","Very cold","Neogloboquadrina",2,0,18.3,0.191,0,0.069,0
"0589uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",2.8,"-0.8","Very cold","Neogloboquadrina",3,0,18.3,0.2,0,0.074,0.002
"0636uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",2.9,"-0.8","Very cold","Neogloboquadrina",2,0,18.4,0.171,0.004,0.056,0
"0590uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",3,"-0.8","Very cold","Neogloboquadrina",2,0,18.5,0.182,0.003,0.064,0
"0578uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",5.5,"-0.8","Very cold","Neogloboquadrina",2,0,20,0.194,0.001,0.075,0.001
"0637uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",7.5,"-0.8","Very cold","Neogloboquadrina",2,0,21.5,0.216,0.007,0.081,0.002
"0576uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",8,"-0.8","Very cold","Neogloboquadrina",2,0,22,0.214,0.004,0.066,0
"0638uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",9,"-0.8","Very cold","Neogloboquadrina",2,0,23.7,0.193,0.004,0.069,0
"0639uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",9.5,"-0.8","Very cold","Neogloboquadrina",2,0,24.5,0.2,0.005,0.073,0.002
"0640uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",10.5,"-0.8","Very cold","Neogloboquadrina",2,1,27,0.224,0.013,0.094,0
"0641uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",11,"-0.8","Very cold","Neogloboquadrina",2,0,27.7,0.209,0.004,0.081,0
"0642uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",12,"-0.8","Very cold","Neogloboquadrina",2,0,28.7,0.194,0.001,0.072,0.002
"0643uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",12.5,"-0.8","Very cold","Neogloboquadrina",2,0,32,0.226,0.001,0.087,0.004
"0577uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",13,"-0.8","Very cold","Neogloboquadrina",2,0,37.6,0.223,0.002,0.08,0.001
"1076uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",13.5,"-0.8","Very cold","Neogloboquadrina",2,0,43.8,0.23,0.002,0.089,0.002
"0902uH*","Wheeler et al. 2021","Nordic Seas","MD99-2289",14,"-0.8","Very cold","Neogloboquadrina",2,0,50.2,0.273,0.001,0.107,0
"0563uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",15,"-0.8","Very cold","Neogloboquadrina",3,0,59.3,0.238,0.006,0.088,0.005
"0912uH*","Wheeler et al. 2021","Nordic Seas","MD99-2289",17.5,"-0.8","Very cold","Neogloboquadrina",2,0,100.5,0.317,0,0.136,0
"0561uH","Wheeler et al. 2021","Nordic Seas","MD99-2289",18.5,"-0.8","Very cold","Neogloboquadrina",2,0,118,0.299,0.005,0.112,0.009
"8187","Kaufman et al., 2013","North Atlantic","U1308A",35.22,"2.5","Cold","Neogloboquadrina",12,12,539.2,0.479,0.061,0.236,0.042
"8199","Kaufman et al., 2013","North Atlantic","U1308A",48.82,"2.5","Cold","Neogloboquadrina",21,8,747.7,0.631,0.039,0.387,0.043
"8167, 8697","Kaufman et al., 2013","North Atlantic","U1308A",79.67,"2.5","Cold","Neogloboquadrina",14,27,1122.7,0.597,0.045,0.348,0.053
"8189","Kaufman et al., 2013","North Atlantic","U1308B",86.15,"2.5","Cold","Neogloboquadrina",14,9,1200.9,0.547,0.054,0.27,0.048
"8168","Kaufman et al., 2013","North Atlantic","U1308B",103.77,"2.5","Cold","Neogloboquadrina",12,19,1415.7,0.568,0.077,0.317,0.07
"8191","Kaufman et al., 2013","North Atlantic","U1308C",1.24,"2.5","Cold","Neogloboquadrina",9,2,18.9,0.222,0.005,0.078,0.004
"8169","Kaufman et al., 2013","North Atlantic","U1308C",22.29,"2.5","Cold","Neogloboquadrina",13,5,348.8,0.518,0.03,0.281,0.033
"8194","Kaufman et al., 2013","North Atlantic","U1308C",40.42,"2.5","Cold","Neogloboquadrina",11,1,631.6,0.571,0.058,0.324,0.065
"8195","Kaufman et al., 2013","North Atlantic","U1308C",51.76,"2.5","Cold","Neogloboquadrina",9,1,799.2,0.581,0.027,0.351,0.037
"8190","Kaufman et al., 2013","North Atlantic","U1308C",56.85,"2.5","Cold","Neogloboquadrina",14,5,873.5,0.509,0.035,0.257,0.042
"8193","Kaufman et al., 2013","North Atlantic","U1308E",3.18,"2.5","Cold","Neogloboquadrina",8,4,44.4,0.265,0.008,0.096,0.008
"8188","Kaufman et al., 2013","North Atlantic","U1308E",6.04,"2.5","Cold","Neogloboquadrina",9,1,88.8,0.306,0.031,0.115,0.018
"8192","Kaufman et al., 2013","North Atlantic","U1308E",7.34,"2.5","Cold","Neogloboquadrina",9,2,107.5,0.303,0.03,0.107,0.02
"8196","Kaufman et al., 2013","North Atlantic","U1308E",9.34,"2.5","Cold","Neogloboquadrina",10,0,140,0.391,0.022,0.171,0.018
"8166","Kaufman et al., 2013","North Atlantic","U1308E",15.82,"2.5","Cold","Neogloboquadrina",10,7,249.9,0.443,0.052,0.216,0.04
"8186","Kaufman et al., 2013","North Atlantic","U1308E",27.4,"2.5","Cold","Neogloboquadrina",15,11,431,0.417,0.022,0.203,0.02
"8197","Kaufman et al., 2013","North Atlantic","U1308F",71.33,"2.5","Cold","Neogloboquadrina",8,3,1046.4,0.537,0.068,0.316,0.072
"23165","Hunt 2023","Southern Ocean","PC493",0.025,"0.5","Very cold","Neogloboquadrina",9,1,7,0.148,0.015,0.063,0.007
"23044, 23140","Hunt 2023","Southern Ocean","PC493",0.555,"0.5","Very cold","Neogloboquadrina",12,7,115,0.242,0.008,0.093,0.009
"23045, 23156, 23590","Hunt 2023","Southern Ocean","PC493",1.615,"0.5","Very cold","Neogloboquadrina",24,6,401,0.404,0.03,0.203,0.029
"23046, 23157","Hunt 2023","Southern Ocean","PC493",2.045,"0.5","Very cold","Neogloboquadrina",17,3,602,0.442,0.021,0.241,0.023
"23158","Hunt 2023","Southern Ocean","PC493",2.805,"0.5","Very cold","Neogloboquadrina",9,1,785,0.478,0.036,0.267,0.039
"23166, 23167","Hunt 2023","Southern Ocean","PC493",3.255,"0.5","Very cold","Neogloboquadrina",29,14,1020,0.51,0.05,0.322,0.053
"23506","Hunt 2023","Southern Ocean","PS2551-1",0.1,"1.1","Very cold","Neogloboquadrina",3,7,9,0.134,0.01,0.05,0.005
"23504","Hunt 2023","Southern Ocean","PS2551-1",3.7,"0.1","Very cold","Neogloboquadrina",7,3,102,0.235,0.015,0.088,0.012
"23498","Hunt 2023","Southern Ocean","PS2551-1",6.97,"2.1","Cold","Neogloboquadrina",4,6,210,0.364,0.008,0.161,0.008
"23503","Hunt 2023","Southern Ocean","PS2551-1",7.68,"0.1","Very cold","Neogloboquadrina",7,3,304,0.428,0.006,0.224,0.011
"23497","Hunt 2023","Southern Ocean","PS2551-1",8.68,"3.1","Cold","Neogloboquadrina",2,7,480,0.454,0.02,0.25,0.007
"23499","Hunt 2023","Southern Ocean","PS2551-1",10.55,"0.1","Very cold","Neogloboquadrina",5,4,681,0.508,0.007,0.296,0.009
"23233, 23491","Hunt 2023","Southern Ocean","PC723",5.48,"0.1","Very cold","Neogloboquadrina",14,6,113,0.269,0.011,0.103,0.006
"23232, 23492","Hunt 2023","Southern Ocean","PC723",8.9,"0.1","Very cold","Neogloboquadrina",13,7,235,0.346,0.04,0.155,0.037
"23234","Hunt 2023","Southern Ocean","PC734",11.19,"0.1","Very cold","Neogloboquadrina",7,3,101,0.296,0.02,0.119,0.019
"23505","Hunt 2023","Southern Ocean","PS2556-2",8.08,"0.1","Very cold","Neogloboquadrina",2,6,228,0.335,0.027,0.165,0.022
"23591","Hunt 2023","Southern Ocean","PS1506-1",1.43,"-0.7","Very cold","Neogloboquadrina",6,4,93,0.219,0.005,0.082,0.005
"23562, 23593","Hunt 2023","Southern Ocean","PS1506-1",1.51,"-0.7","Very cold","Neogloboquadrina",11,8,98,0.224,0.009,0.084,0.009
"23566","Hunt 2023","Southern Ocean","PS1506-1",1.59,"-0.7","Very cold","Neogloboquadrina",6,4,102,0.24,0.013,0.091,0.014
"23500","Hunt 2023","Southern Ocean","PS1506-1",1.65,"-0.7","Very cold","Neogloboquadrina",5,5,105,0.249,0.007,0.101,0.005
"23563","Hunt 2023","Southern Ocean","PS1506-1",1.74,"-0.7","Very cold","Neogloboquadrina",9,1,110,0.269,0.012,0.108,0.009
"23481","Hunt 2023","Southern Ocean","PS1506-1",3.49,"-0.7","Very cold","Neogloboquadrina",8,2,237,0.358,0.027,0.167,0.02
"23501","Hunt 2023","Southern Ocean","PS1506-1",3.8,"-0.7","Very cold","Neogloboquadrina",7,3,298,0.38,0.037,0.184,0.035
"23484","Hunt 2023","Southern Ocean","PS1506-1",5.1,"-0.7","Very cold","Neogloboquadrina",8,2,489,0.48,0.011,0.283,0.015
"23483","Hunt 2023","Southern Ocean","PS1506-1",5.25,"-0.7","Very cold","Neogloboquadrina",9,1,521,0.473,0.035,0.266,0.05
"23502","Hunt 2023","Southern Ocean","PS1506-1",5.4,"-0.7","Very cold","Neogloboquadrina",7,3,558,0.474,0.018,0.269,0.023
"23564","Hunt 2023","Southern Ocean","PS1506-1",5.51,"-0.7","Very cold","Neogloboquadrina",7,2,585,0.438,0.043,0.255,0.035
"23482","Hunt 2023","Southern Ocean","PS1506-1",6.24,"-0.7","Very cold","Neogloboquadrina",8,2,671,0.445,0.043,0.236,0.002
"23485","Hunt 2023","Southern Ocean","PS1506-1",6.33,"-0.7","Very cold","Neogloboquadrina",10,0,679,0.517,0.018,0.318,0.02
