UAL,study,region,core,depth_mbsf,temp_C,temp_cat,taxon,n_used,n_rejected,age_ka,DL_Asp,SD_Asp,DL_Glu,SD_Glu
8195,"Kaufman et al., 2013",North Atlantic,U1308C,51.76,2.5,Cold,Neogloboquadrina,9,1,799.2,0.581,0.027,0.351,0.037
8190,"Kaufman et al., 2013",North Atlantic,U1308C,56.85,2.5,Cold,Neogloboquadrina,14,5,873.5,0.509,0.035,0.257,0.042
8193,"Kaufman et al., 2013",North Atlantic,U1308E,3.18,2.5,Cold,Neogloboquadrina,8,4,44.4,0.265,0.008,0.096,0.008
8188,"Kaufman et al., 2013",North Atlantic,U1308E,6.04,2.5,Cold,Neogloboquadrina,9,1,88.8,0.306,0.031,0.115,0.018
8192,"Kaufman et al., 2013",North Atlantic,U1308E,7.34,2.5,Cold,Neogloboquadrina,9,2,107.5,0.303,0.03,0.107,0.02
8196,"Kaufman et al., 2013",North Atlantic,U1308E,9.34,2.5,Cold,Neogloboquadrina,10,0,140,0.391,0.022,0.171,0.018
8166,"Kaufman et al., 2013",North Atlantic,U1308E,15.82,2.5,Cold,Neogloboquadrina,10,7,249.9,0.443,0.052,0.216,0.04
8186,"Kaufman et al., 2013",North Atlantic,U1308E,27.4,2.5,Cold,Neogloboquadrina,15,11,431,0.417,0.022,0.203,0.02
8197,"Kaufman et al., 2013",North Atlantic,U1308F,71.33,2.5,Cold,Neogloboquadrina,8,3,1046.4,0.537,0.068,0.316,0.072
22745,West et al. 2023,Nordic Seas,ODP 151/ 907A,1.05,-0.8,Very cold,Neogloboquadrina,15,2,42,0.2,0.008,0.082,0.007
22746,West et al. 2023,Nordic Seas,ODP 151/ 907A,1.87,-0.8,Very cold,Neogloboquadrina,13,2,107,0.281,0.005,0.114,0.003
22747,West et al. 2023,Nordic Seas,ODP 151/ 907A,2.35,-0.8,Very cold,Neogloboquadrina,18,2,131,0.323,0.012,0.145,0.009
22748,West et al. 2023,Nordic Seas,ODP 151/ 907A,3.06,-0.8,Very cold,Neogloboquadrina,15,0,168,0.355,0.011,0.171,0.009
22749,West et al. 2023,Nordic Seas,ODP 151/ 907A,5.06,-0.8,Very cold,Neogloboquadrina,17,2,309,0.395,0.016,0.192,0.014
22750,West et al. 2023,Nordic Seas,ODP 151/ 907A,6.81,-0.8,Very cold,Neogloboquadrina,12,1,398,0.388,0.013,0.183,0.016
22751,West et al. 2023,Nordic Seas,ODP 151/ 907A,15.21,-0.8,Very cold,Neogloboquadrina,10,3,781,0.482,0.036,0.25,0.046
22732,West et al. 2023,Nordic Seas,PS17 / 1906-2,0.15,-1,Very cold,Neogloboquadrina,12,3,10,0.13,0.005,0.065,0.002
22733,West et al. 2023,Nordic Seas,PS17 / 1906-2,1.81,-1,Very cold,Neogloboquadrina,17,0,85,0.263,0.008,0.111,0.008
22734,West et al. 2023,Nordic Seas,PS17 / 1906-2,2.01,-1,Very cold,Neogloboquadrina,12,0,111,0.306,0.006,0.138,0.005
22735,West et al. 2023,Nordic Seas,PS17 / 1906-2,2.11,-1,Very cold,Neogloboquadrina,12,4,117,0.312,0.01,0.141,0.009
22736,West et al. 2023,Nordic Seas,PS17 / 1906-2,2.21,-1,Very cold,Neogloboquadrina,12,3,122,0.331,0.032,0.156,0.028
22737,West et al. 2023,Nordic Seas,PS17 / 1906-2,3.29,-1,Very cold,Neogloboquadrina,8,1,207,0.338,0.017,0.168,0.011
22738,West et al. 2023,Nordic Seas,PS17 / 1906-2,3.61,-1,Very cold,Neogloboquadrina,12,2,225,0.355,0.01,0.178,0.01
22739,West et al. 2023,Nordic Seas,PS17 / 1906-2,5.51,-1,Very cold,Neogloboquadrina,5,1,398,0.439,0.03,0.227,0.036
15544,"West et al., 2019",Arctic,PS92/39-2,0.2,-0.76,Very cold,Neogloboquadrina,1,6,6.7,0.121,-,0.056,-
15546,"West et al., 2019",Arctic,PS92/39-2,1.5,-0.76,Very cold,Neogloboquadrina,4,3,30.8,0.234,0.018,0.082,0.01
15547,"West et al., 2019",Arctic,PS92/39-2,3,-0.76,Very cold,Neogloboquadrina,8,0,64.2,0.258,0.025,0.103,0.021
15548,"West et al., 2019",Arctic,PS92/39-2,3.8,-0.76,Very cold,Neogloboquadrina,8,2,80.4,0.233,0.016,0.095,0.015
15549,"West et al., 2019",Arctic,PS92/39-2,5.81,-0.76,Very cold,Neogloboquadrina,4,5,126.3,0.272,0.063,0.11,0.035
15550,"West et al., 2019",Arctic,PS92/39-2,6.51,-0.76,Very cold,Neogloboquadrina,8,1,139.2,0.313,0.014,0.153,0.015
15551,"West et al., 2019",Arctic,PS92/39-2,7.21,-0.76,Very cold,Neogloboquadrina,4,6,150.8,0.298,0.016,0.118,0.016
15552,"West et al., 2019",Arctic,PS92/39-2,8.31,-0.76,Very cold,Neogloboquadrina,5,5,168.5,0.283,0.021,0.111,0.015
15553,"West et al., 2019",Arctic,PS92/39-2,8.41,-0.76,Very cold,Neogloboquadrina,6,4,170.1,0.329,0.017,0.169,0.013
16814,"West et al., 2019",Arctic,PS92/45-2,1.2,-0.25,Very cold,Neogloboquadrina,6,3,29.8,0.19,0.012,0.085,0.009
16815,"West et al., 2019",Arctic,PS92/45-2,1.59,-0.25,Very cold,Neogloboquadrina,11,0,39.5,0.195,0.008,0.084,0.007
16817,"West et al., 2019",Arctic,PS92/45-2,3.12,-0.25,Very cold,Neogloboquadrina,4,4,90.1,0.269,0.019,0.124,0.027
16818,"West et al., 2019",Arctic,PS92/45-2,4.13,-0.25,Very cold,Neogloboquadrina,4,3,147.8,0.345,0.014,0.176,0.017
17531,"West et al., 2019",Arctic,PS92/45-2,4.45,-0.25,Very cold,Neogloboquadrina,11,0,171.8,0.351,0.027,0.186,0.029
16819,"West et al., 2019",Arctic,PS92/45-2,4.73,-0.25,Very cold,Neogloboquadrina,4,2,194.9,0.362,0.023,0.189,0.016
16822,"West et al., 2019",Arctic,PS92/54-1,1.79,-0.43,Very cold,Neogloboquadrina,6,1,40.1,0.166,0.011,0.07,0.009
16826,"West et al., 2019",Arctic,PS92/54-1,4.66,-0.43,Very cold,Neogloboquadrina,8,7,132.3,0.395,0.01,0.224,0.01
16827,"West et al., 2019",Arctic,PS92/54-1,4.94,-0.43,Very cold,Neogloboquadrina,5,1,135.8,0.358,0.035,0.175,0.04
16828,"West et al., 2019",Arctic,PS92/54-1,5.1,-0.43,Very cold,Neogloboquadrina,3,1,137.8,0.345,0.018,0.186,0.02
0627uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,1.1,-0.75,Very cold,Neogloboquadrina,2,0,13.1982477563496,0.17790744576113884,0.0074127944048769144,0.07766847978283853,0.002839906720488349
0585uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,1.2,-0.75,Very cold,Neogloboquadrina,2,0,13.48325026895,0.16252795164162523,0.0038135508169400813,0.0633263498699319,0.002600801073722899
0984uH*,Wheeler et al. 2021,Nordic Seas,MD99-2289,1.31,-0.75,Very cold,Neogloboquadrina,1,0,13.7682527815503,0.1853272950138528,,0.06903044801051186,
0629uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,1.4,-0.75,Very cold,Neogloboquadrina,2,0,14.2493929723399,0.1748986692575018,0.0012567517636096687,0.07537540745947974,0.00115348184225128
0586uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,1.7,-0.75,Very cold,Neogloboquadrina,2,0,16.1622212752791,0.17406201672376304,0.0020091313596595876,0.06508017142652031,7.88997758558916e-06
0630uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,1.8,-0.75,Very cold,Neogloboquadrina,2,0,16.7204938402608,0.1749740700027781,0.0025137579409289152,0.07695243583628103,0.0010910890633780326
0631uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,1.9,-0.75,Very cold,Neogloboquadrina,2,0,17.08321049051,0.1722386513483431,0.0026943299818447475,0.07095913342244847,0.00020380149105463197
0587uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,2,-0.75,Very cold,Neogloboquadrina,2,0,17.2503712260269,0.18419019753792853,0.0003574298440385142,0.06307494935022101,0.0014706485121183976
0632uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,2.1,-0.75,Very cold,Neogloboquadrina,2,0,17.4175319615437,0.1749990715665817,0.0005359547321932859,0.07969218664047062,0.0016835371784727695
0633uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,2.2,-0.75,Very cold,Neogloboquadrina,2,0,17.5755055504584,0.1898328094921939,0.004700411802493032,0.07180867834494378,0.0006843666355090892
0588uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,2.3,-0.75,Very cold,Neogloboquadrina,2,0,17.7334791393731,0.18622307256627574,0.0008270983266710667,0.06948203018868868,0.0017309355807108506
0634uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,2.4,-0.75,Very cold,Neogloboquadrina,2,0,17.8807421774256,0.17697809684186577,0.0008213603268745432,0.07247138765283402,4.97771909413869e-05
0562uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,2.6,-0.75,Very cold,Neogloboquadrina,3,0,18.1538471518064,0.17974064108532062,0.005381832458399099,0.06285379151855669,0.009214624648221668
0635uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,2.71,-0.75,Very cold,Neogloboquadrina,2,0,18.2525457266614,0.19052335780911953,8.907569725537571e-05,0.06931718417804245,0.00012278869909610517
0589uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,2.8,-0.75,Very cold,Neogloboquadrina,3,0,18.3332991060883,0.20049779702784762,0.0004325465395727953,0.07425228446101677,0.0023655947260212058
0636uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,2.9,-0.75,Very cold,Neogloboquadrina,2,0,18.4092025637323,0.17053651486147886,0.004328635819970644,0.05606506780747278,0.0003079930219977246
0590uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,3,-0.75,Very cold,Neogloboquadrina,2,0,18.4712835018794,0.18227752325452978,0.0031039971173145837,0.064179175520557,0.00017882021680815094
0578uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,5.5,-0.75,Very cold,Neogloboquadrina,2,0,19.9984026080372,0.19367775935082615,0.0007125633743776963,0.07464220997234924,0.000927814010799123
0637uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,7.5,-0.75,Very cold,Neogloboquadrina,2,0,21.5058087861033,0.21578055248456962,0.006639965516271606,0.08072345005905748,0.0015777167856155278
0576uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,8,-0.75,Very cold,Neogloboquadrina,2,0,21.9966480089499,0.21425729910035618,0.004266085054838877,0.06636073786100755,0.00019219800330072946
0638uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,9,-0.75,Very cold,Neogloboquadrina,2,0,23.7068507643143,0.1934667034050618,0.004319999106039387,0.06934904847077734,0.00047819657938531204
0639uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,9.5,-0.75,Very cold,Neogloboquadrina,2,0,24.5445995786602,0.19960528273648107,0.005241689252672871,0.0727368840634796,0.001928494336651839
0640uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,10.5,-0.75,Very cold,Neogloboquadrina,2,1,27.00587495107,0.2236724580355388,0.013227897705557115,0.09379396269533075,0.00027706920246505455
0641uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,11,-0.75,Very cold,Neogloboquadrina,2,0,27.6672184941955,0.20859477153534925,0.004079967857153871,0.08068759366181597,0.00028313359740037936
0642uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,12,-0.75,Very cold,Neogloboquadrina,2,0,28.6706113124253,0.19401067309498166,0.0012391934895479822,0.07236440096152713,0.0022329551623741384
0643uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,12.5,-0.75,Very cold,Neogloboquadrina,2,0,31.9802989291597,0.2262040201223072,0.0012789951337700562,0.0869976532690985,0.004196921500826015
0577uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,13,-0.75,Very cold,Neogloboquadrina,2,0,37.616665630879,0.22314017005425285,0.0017676525087175477,0.07973148137411182,0.0010985883721266628
1076uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,13.5,-0.75,Very cold,Neogloboquadrina,2,0,43.8467588898009,0.22972515598768323,0.0022518889470662536,0.0894669829853405,0.0016417109089043116
0902uH*,Wheeler et al. 2021,Nordic Seas,MD99-2289,14,-0.75,Very cold,Neogloboquadrina,1,0,50.1984464082558,0.27335571643531853,,0.10714124244340176,
0563uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,15,-0.75,Very cold,Neogloboquadrina,3,0,59.2691219816589,0.2375669253859991,0.006338338946034259,0.08798754164391642,0.005061149264146145
0912uH*,Wheeler et al. 2021,Nordic Seas,MD99-2289,17.5,-0.75,Very cold,Neogloboquadrina,1,0,100.45585097726,0.3171364522206367,,0.13628676117796562,
0561uH,Wheeler et al. 2021,Nordic Seas,MD99-2289,18.5,-0.75,Very cold,Neogloboquadrina,2,0,117.999950499568,0.2991784976802683,0.00549913281612201,0.11198888209898239,0.009069029107275315
