UAL,study,region,core,depth_mbsf,temp_C,temp_cat,taxon,n_used,n_rejected,age_ka,DL_Asp,SD_Asp,DL_Glu,SD_Glu
23165,Hunt 2023,Southern,PC493,0.555,0.5,Very cold,Neogloboquadrina,9,1,7,0.148,0.015,0.063,0.007
"23044, 23140",Hunt 2023,Southern,PC493,0.555,0.5,Very cold,Neogloboquadrina,12,7,115,0.242,0.008,0.093,0.009
"23045, 23156, 23590",Hunt 2023,Southern,PC493,1.615,0.5,Very cold,Neogloboquadrina,24,6,401,0.404,0.03,0.203,0.029
"23046, 23157",Hunt 2023,Southern,PC493,2.045,0.5,Very cold,Neogloboquadrina,17,3,602,0.442,0.021,0.241,0.023
23158,Hunt 2023,Southern,PC493,2.805,0.5,Very cold,Neogloboquadrina,9,1,785,0.478,0.036,0.267,0.039
"23166, 23167",Hunt 2023,Southern,PC493,3.255,0.5,Very cold,Neogloboquadrina,29,14,1020,0.51,0.05,0.322,0.053
"23233, 23491",Hunt 2023,Southern,PC723,5.48,0.1,Very cold,Neogloboquadrina,14,6,113,0.269,0.011,0.103,0.006
"23232, 23492",Hunt 2023,Southern,PC723,8.9,0.1,Very cold,Neogloboquadrina,13,7,235,0.346,0.04,0.155,0.037
23234,Hunt 2023,Southern,PC734,11.19,0.1,Very cold,Neogloboquadrina,7,3,101,0.296,0.02,0.119,0.019
23591,Hunt 2023,Southern,PS1506-1,1.43,-0.7,Very cold,Neogloboquadrina,6,4,93,0.219,0.005,0.082,0.005
"23562, 23593",Hunt 2023,Southern,PS1506-1,1.51,-0.7,Very cold,Neogloboquadrina,11,8,98,0.224,0.009,0.084,0.009
23566,Hunt 2023,Southern,PS1506-1,1.59,-0.7,Very cold,Neogloboquadrina,6,4,102,0.24,0.013,0.091,0.014
23500,Hunt 2023,Southern,PS1506-1,1.65,-0.7,Very cold,Neogloboquadrina,5,5,105,0.249,0.007,0.101,0.005
23563,Hunt 2023,Southern,PS1506-1,1.74,-0.7,Very cold,Neogloboquadrina,9,1,110,0.269,0.012,0.108,0.009
23481,Hunt 2023,Southern,PS1506-1,3.49,-0.7,Very cold,Neogloboquadrina,8,2,237,0.358,0.027,0.167,0.02
23501,Hunt 2023,Southern,PS1506-1,3.8,-0.7,Very cold,Neogloboquadrina,7,3,298,0.38,0.037,0.184,0.035
23484,Hunt 2023,Southern,PS1506-1,5.1,-0.7,Very cold,Neogloboquadrina,8,2,489,0.48,0.011,0.283,0.015
23483,Hunt 2023,Southern,PS1506-1,5.25,-0.7,Very cold,Neogloboquadrina,9,1,521,0.473,0.035,0.266,0.05
23502,Hunt 2023,Southern,PS1506-1,5.4,-0.7,Very cold,Neogloboquadrina,7,3,558,0.474,0.018,0.269,0.023
23564,Hunt 2023,Southern,PS1506-1,5.51,-0.7,Very cold,Neogloboquadrina,7,2,585,0.438,0.043,0.255,0.035
23485,Hunt 2023,Southern,PS1506-1,6.33,-0.7,Very cold,Neogloboquadrina,10,0,679,0.517,0.018,0.318,0.02
23504,Hunt 2023,Southern,PS2551-1,3.7,0.1,Very cold,Neogloboquadrina,7,3,102,0.235,0.015,0.088,0.012
23503,Hunt 2023,Southern,PS2551-1,7.68,0.1,Very cold,Neogloboquadrina,7,3,304,0.428,0.006,0.224,0.011
23499,Hunt 2023,Southern,PS2551-1  ,10.55,0.1,Very cold,Neogloboquadrina,5,4,681,0.508,0.007,0.296,0.009
5921,"Kaufman et al., 2013",Arctic,88AR-P5  ,1,,Very cold,Neogloboquadrina,5,0,5.526,0.0982,0.010281050529979827,0.0498,0.011819475453673924
6510,"Kaufman et al., 2013",Arctic,HLY0503-11MC-2,5.5,-0.7,Very cold,Neogloboquadrina,5,0,30.949,0.225,0.03916631205513237,0.10640000000000001,0.02538306522073323
7307,"Kaufman et al., 2013",Arctic,HLY0503-18TC,0.9,-0.7,Very cold,Neogloboquadrina,4,0,2,0.06,0.002,0.018,0.001
7308,"Kaufman et al., 2013",Arctic,HLY0503-18TC,7.7,-0.7,Very cold,Neogloboquadrina,5,0,7.4,0.1,0.008,0.031,0.003
7441,"Kaufman et al., 2013",Arctic,HLY0503-18TC,11.2,-0.7,Very cold,Neogloboquadrina,5,1,9.1,0.122,0.005,0.035,0.002
7309,"Kaufman et al., 2013",Arctic,HLY0503-18TC,15.7,-0.7,Very cold,Neogloboquadrina,5,1,10.9,0.111,0.005,0.031,0.002
7440,"Kaufman et al., 2013",Arctic,HLY0503-18TC,17.7,-0.7,Very cold,Neogloboquadrina,4,1,11.6,0.133,0.007,0.038,0.003
7310,"Kaufman et al., 2013",Arctic,HLY0503-18TC,21.7,-0.7,Very cold,Neogloboquadrina,4,1,12.4,0.122,0.006,0.037,0.002
7311,"Kaufman et al., 2013",Arctic,HLY0503-18TC,25.7,-0.7,Very cold,Neogloboquadrina,5,0,12.9,0.122,0.002,0.036,0.002
7312,"Kaufman et al., 2013",Arctic,HLY0503-18TC,27.7,-0.7,Very cold,Neogloboquadrina,5,0,13,0.115,0.015,0.035,0.005
7313,"Kaufman et al., 2013",Arctic,HLY0503-18TC,29.7,-0.7,Very cold,Neogloboquadrina,4,1,27.4,0.168275,0.018524825685189632,0.05175,0.009844626283748258
7314,"Kaufman et al., 2013",Arctic,HLY0503-18TC,31.7,-0.7,Very cold,Neogloboquadrina,3,1,30.9,0.185,0.011532562594670807,0.06033333333333333,0.0020816659994661304
6134,"Kaufman et al., 2013",Arctic,HLY0503-8JPC,0.5,,Very cold,Neogloboquadrina,4,1,3.98,0.08025,0.005123475382979765,0.035250000000000004,0.0009574271077562129
6141,"Kaufman et al., 2013",Arctic,HLY0503-8JPC,7.5,,Very cold,Neogloboquadrina,4,0,10.15,0.096,0.008082903768654797,0.03425,0.0053774219349672
6140,"Kaufman et al., 2013",Arctic,HLY0503-8JPC,14.5,,Very cold,Neogloboquadrina,2,1,9.61,0.1075,0.0021213203435598857,0.0455,0.004949747468305854
6135,"Kaufman et al., 2013",Arctic,HLY0503-8JPC,24.5,,Very cold,Neogloboquadrina,3,1,10.86,0.10966666666666668,0.0032145502536644866,0.039,0.0010000000000000664
7468,"Kaufman et al., 2013",Arctic,LORMROG07-08PC,0.25,,Very cold,Neogloboquadrina,5,0,6.9,0.08539999999999999,0.010714476188783259,0.034,0.004358898943540674
7469,"Kaufman et al., 2013",Arctic,LORMROG07-08PC,2.5,,Very cold,Neogloboquadrina,4,2,12,0.123,0.0064807406984078615,0.045250000000000005,0.006396613687465162
7470,"Kaufman et al., 2013",Arctic,LORMROG07-08PC,4.5,,Very cold,Neogloboquadrina,6,0,17.4,0.16866666666666666,0.012754084313139328,0.06333333333333334,0.007174027227901124
7471,"Kaufman et al., 2013",Arctic,LORMROG07-08PC,7.5,,Very cold,Neogloboquadrina,6,0,36.8,0.18766666666666665,0.005240865068542284,0.07333333333333333,0.003829708431025353
8187,"Kaufman et al., 2013",North Atlantic,U1308A,35.22,2.5,Cold,Neogloboquadrina,12,12,539.2,0.479,0.061,0.236,0.042
"8198, 8730","Kaufman et al., 2013",North Atlantic,U1308A,46.68,2.5,Cold,Neogloboquadrina,3,53,720.3,0.548,0.034,0.3,0.059
8199,"Kaufman et al., 2013",North Atlantic,U1308A,48.82,2.5,Cold,Neogloboquadrina,21,8,747.7,0.631,0.039,0.387,0.043
"8167, 8697","Kaufman et al., 2013",North Atlantic,U1308A,79.67,2.5,Cold,Neogloboquadrina,14,27,1122.7,0.597,0.045,0.348,0.053
8189,"Kaufman et al., 2013",North Atlantic,U1308B,86.15,2.5,Cold,Neogloboquadrina,14,9,1200.9,0.547,0.054,0.27,0.048
8168,"Kaufman et al., 2013",North Atlantic,U1308B,103.77,2.5,Cold,Neogloboquadrina,12,19,1415.7,0.568,0.077,0.317,0.07
8191,"Kaufman et al., 2013",North Atlantic,U1308C,1.24,2.5,Cold,Neogloboquadrina,9,2,18.9,0.222,0.005,0.078,0.004
8169,"Kaufman et al., 2013",North Atlantic,U1308C,22.29,2.5,Cold,Neogloboquadrina,13,5,348.8,0.518,0.03,0.281,0.033
8194,"Kaufman et al., 2013",North Atlantic,U1308C,40.42,2.5,Cold,Neogloboquadrina,11,1,631.6,0.571,0.058,0.324,0.065
